Marca temporal,Horas jugadas antes de la partida ,Hora del día en que jugaste  ,Tipo de juego,Jugaste con amigos o solo  ,Nivel de cansancio antes de jugar  ,Número de victorias consecutivas que llevabas antes de esta partida  ,Ganaste o Perdiste la partida
17/9/2025 10:32:09,0 - 1 horas,Mañana (6 am - 12 pm),MOBA,Solo,1,0,Perdí
17/9/2025 10:32:30,1 - 2 horas,Mañana (6 am - 12 pm),MOBA,Solo,1,0,Gané
17/9/2025 10:32:52,1 - 2 horas,Mañana (6 am - 12 pm),MOBA,Solo,2,1,Perdí
17/9/2025 10:33:14,1 - 2 horas,Tarde (12pm–6pm),MOBA,Solo,2,0,Perdí
17/9/2025 10:33:35,2 - 3 horas,Tarde (12pm–6pm),MOBA,Con amigos,2,0,Gané
17/9/2025 10:34:07,2 - 3 horas,Tarde (12pm–6pm),MOBA,Con amigos,2,1,Gané
17/9/2025 10:34:31,2 - 3 horas,Tarde (12pm–6pm),MOBA,Con amigos,2,2,Perdí
17/9/2025 10:34:51,3 - 4 horas,Tarde (12pm–6pm),MOBA,Con amigos,3,0,Perdí
17/9/2025 10:35:05,3 - 4 horas,Tarde (12pm–6pm),MOBA,Con amigos,3,0,Perdí
17/9/2025 10:37:51,3 - 4 horas,Tarde (12pm–6pm),MOBA,Con amigos,3,0,Perdí
17/9/2025 10:38:06,4 - 5 + horas,Tarde (12pm–6pm),MOBA,Con amigos,4,0,Perdí
17/9/2025 10:39:14,4 - 5 + horas,Tarde (12pm–6pm),MOBA,Con amigos,4,0,Perdí
17/9/2025 10:39:31,4 - 5 + horas,Tarde (12pm–6pm),MOBA,Con amigos,5,0,Perdí
17/9/2025 10:39:54,0 - 1 horas,Tarde (12pm–6pm),MOBA,Solo,1,0,Gané
17/9/2025 10:40:18,0 - 1 horas,Tarde (12pm–6pm),MOBA,Solo,1,1,Gané
17/9/2025 10:41:20,0 - 1 horas,Mañana (6 am - 12 pm),MOBA,Solo,1,2,Perdí
17/9/2025 10:44:20,1 - 2 horas,Tarde (12pm–6pm),MOBA,Solo,2,2,Gané
17/9/2025 10:44:47,1 - 2 horas,Tarde (12pm–6pm),MOBA,Solo,2,1,Gané
17/9/2025 10:45:07,2 - 3 horas,Tarde (12pm–6pm),MOBA,Solo,2,1,Gané
17/9/2025 10:45:25,2 - 3 horas,Tarde (12pm–6pm),MOBA,Solo,2,2,Gané
17/9/2025 10:45:48,3 - 4 horas,Tarde (12pm–6pm),MOBA,Solo,3,2,Perdí
